A ceremony of carols,Britten,,,SATB,TRUE,Christmas,,Shelf,
A child is born,Scheidt,,Willcocks,SATB,FALSE,Christmas,,Cab 1 C14,
A child is born,Scheidt,,GAG,SATB,FALSE,Christmas,,Cab 1 C14,
A Clare benediction,Rutter,John,,S(A)(Men),TRUE,,,Shelf,FA1
A cradle hymn,Lang,,,SATB,TRUE,Christmas,,Cab 2 C50,
A Gaelic blessing,Rutter,John,,SSA,TRUE,,,Shelf,EAC2
A Gaelic Blessing,Rutter,John,,V1(2),TRUE,,,Shelf,EFA
A gift from heaven above,Sanders,John,,SATB,TRUE,,,Shelf,SWAMS
A hymn to the mother of God,Tavener,John,,SSAATTBB,FALSE,,,Shelf,EAC1
A hymn to the trinity,Leighton,Kenneth,,SATB,TRUE,,,Shelf,AC420th
A hymn to the virgin,Britten,,,SATB,TRUE,,,Cab 2 C60,
A Litany,Walton,William,,SATB,FALSE,,,Shelf,AC420th
A merry christmas,Warrell,,,SATB,TRUE,,,Cab 2 C51,
A new commandment,Shephard,,,SATB,TRUE,,,Shelf,AWTEFC
A new commandment,Hubbard,Richard,,V1(2),TRUE,,,Shelf,EFA
A new commandment,Shephard,Richard,,SATB,FALSE,,,Shelf,KoGKoP
A new commandment,Wright,Leddington,,SATB,TRUE,,,Shelf,SWAMS
A prayer for peace,Lord,David,,SATB,FALSE,,,Shelf,AC420th
A prayer of St Richard of Chichester,White,L J,Alan Bullard,SS(A)(T)(B),TRUE,,,Shelf,FA1
A prayer of St Richard of Chichester,White,,,SATB,TRUE,,,Cab 2 42,
A prayer to St Columba s,McDowall,Cecilia,,S(A)(Men),TRUE,,,Shelf,EFA
A prayer to St Columba s,McDowall,,,S(A)(Men),TRUE,,,Shelf,EFA
A pure river of water life,Ridout,Alan,,SATB,TRUE,,,Shelf,AC420th
A sette of carols,Ball,Thalben,,SATB,TRUE,,,Cab 1 C15,
A song of praise,Wills,Arthur,,SS,TRUE,,,Shelf,AUPS2
A song of St Francis,Hurd,Michael,,SSA,FALSE,,,Shelf,EAC2
A sound of angels,Tye,Christopher,,SATB,FALSE,,,Shelf,AFC1
A spotless rose,Howells,,,SATB,TRUE,,,Cab 2 C52,
A touching place,Trad,,,SATB,TRUE,,,Cab 4 6,
A virgin unspotted,Trad,,,SATB,TRUE,,,Cab 1 C13,
Abendlied,Rheinberger,Josef,,SSATTB,FALSE,,,Shelf,ESM
Abide with me,Bennett,,,SATB,TRUE,,,Shelf,CAB
Achieved is the glorious work,Haydn,,,SATB,TRUE,,,Shelf,FSB9
Adam lay y bounden,Warlock,,,SATB,TRUE,Christmas,,Cab 1 C10,
Adam lay y bounden,Ord,Boris,,SATB,FALSE,Christmas,,Cab 1 C22,
Adoramus te christe,Lassus,,,SATB,FALSE,,,Shelf,AWTEFC
"Adoramus te, Christe",Lassus,Orlande,,SATB,FALSE,,,Shelf,ESM
Agnus dei,Morley,,,SATB,FALSE,,,Cab 2 41,
Agnus dei and sanctus,Dexter,,,SATB,TRUE,,,Cab 1 55,
Ah Lord when my last end,Bach,,,SATB,TRUE,,,Cab 2 31,
"Ah, thou poor world",Brahms,Johannes,,SATB,FALSE,,,Shelf,AFC1
Alas that spring should vanish,Hay,,,SATB,TRUE,,,Cab 1 C41,
Alive in me,Hewitt Jones,Thomas,,S(A)(TB),TRUE,,,Shelf,EFA
All creatures of our God and king,Harris,,,SATB,TRUE,,,Shelf,CB10
All glory laud and honour,Bach,,,SATB,TRUE,,,Shelf,CAB
All glory laud and honour,Bach,,,SATB,TRUE,,,Cab 1 24,
All people that on earth do dwell,Tallis,Thomas,,SATB,TRUE,,,Shelf,AFC1
All people that on earth dwell,Vaughan Williams,,,SATB,TRUE,,,Cab 1 62,
All praise to him who came to save,Wagner,,,SATB,TRUE,,,Shelf,CAB
All saints introit,tone VII,,,SATB,FALSE,,,Cab 1 55A,
All the creatures of the wild,Bates,Carol,,SATB,TRUE,,,Cab 1 123,
All through the night,How,Martin,,SATB,TRUE,,,Shelf,7WD
All through the night,-,,Northcote Sydney,SATB,TRUE,,,Cab 1 119,
Alleluia,Boyce,William,,V12(3),TRUE,,,Shelf,FA1
Alleluia,Duncan,,,SATB,TRUE,,,Cab 2 12A,
Alleluia Christus surexit,Anerio,,,SATB,FALSE,,,Shelf,AWTEFC
Alleluia I,Byrd,William,,V1(2)(3),FALSE,,,Shelf,EFA
